subjectID	order	RunNum	itemName	onsetTime	trialType	RT	respInTime	CueTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
cat_between_MRI_998	 2	 1	 Smarties.bmp	 2.943877e+00	 24	 999000	 240	 999000	 999	 3.961600e+00	 750.00	 750.00	 50.00	 26	 4.81	 
cat_between_MRI_998	 2	 1	 Twix.bmp	 6.931520e+00	 12	 999000	 120	 999000	 999	 7.949331e+00	 750.00	 750.00	 7.00	 44	 6.13	 
cat_between_MRI_998	 2	 1	 DoritosGrill.bmp	 1.093606e+01	 12	 999000	 120	 999000	 999	 1.195385e+01	 750.00	 750.00	 18.00	 51	 5.57	 
cat_between_MRI_998	 2	 1	 Hit.bmp	 1.393940e+01	 24	 999000	 240	 999000	 999	 1.495735e+01	 750.00	 750.00	 41.00	 23	 5.05	 
cat_between_MRI_998	 2	 1	 Kitkat.bmp	 1.792696e+01	 24	 999000	 240	 999000	 999	 1.894503e+01	 750.00	 750.00	 58.00	 1	 4.34	 
cat_between_MRI_998	 2	 1	 ChocolateParaMilk3.bmp	 1.992959e+01	 11	 999000	 1	 7.505593e+02	 999	 2.094723e+01	 700.00	 750.00	 14.00	 21	 5.67	 
cat_between_MRI_998	 2	 1	 Mentos.bmp	 2.393396e+01	 22	 999000	 2	 7.506820e+02	 999	 2.495166e+01	 700.00	 700.00	 54.00	 58	 4.73	 
cat_between_MRI_998	 2	 1	 Snickers.bmp	 2.693739e+01	 12	 999000	 120	 999000	 999	 2.795504e+01	 700.00	 700.00	 22.00	 7	 5.49	 
cat_between_MRI_998	 2	 1	 ChocolateParaSucariotKoftzot2.bmp	 2.994066e+01	 24	 999000	 240	 999000	 999	 3.095857e+01	 700.00	 700.00	 40.00	 20	 5.06	 
cat_between_MRI_998	 2	 1	 ChocolateParaCookies5.bmp	 3.192598e+01	 24	 999000	 240	 999000	 999	 3.294401e+01	 700.00	 700.00	 45.00	 60	 4.96	 
cat_between_MRI_998	 2	 1	 BisliGrill.bmp	 3.392844e+01	 22	 999000	 2	 7.002302e+02	 999	 3.494630e+01	 700.00	 650.00	 48.00	 6	 4.85	 
cat_between_MRI_998	 2	 1	 KifkefMaklot2.bmp	 3.693185e+01	 12	 999000	 120	 999000	 999	 3.794964e+01	 700.00	 650.00	 12.00	 59	 5.77	 
cat_between_MRI_998	 2	 1	 ClickXLwhite4.bmp	 3.893406e+01	 22	 999000	 2	 6.503224e+02	 999	 3.995189e+01	 700.00	 600.00	 43.00	 45	 5.03	 
cat_between_MRI_998	 2	 1	 Cheetos.bmp	 4.093632e+01	 24	 999000	 240	 999000	 999	 4.195414e+01	 700.00	 600.00	 42.00	 9	 5.04	 
cat_between_MRI_998	 2	 1	 Tortit.bmp	 4.293864e+01	 12	 999000	 120	 999000	 999	 4.395639e+01	 700.00	 600.00	 4.00	 19	 6.27	 
