subjectID	order	RunNum	itemName	onsetTime	trialType	RT	respInTime	CueTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
cat_between_MRI_998	 2	 3	 Tapuchips.bmp	 2.953883e+00	 12	 999000	 120	 999000	 999	 3.971485e+00	 0.00	 0.00	 21.00	 39	 5.51	 
cat_between_MRI_998	 2	 3	 WerthersOriginal.bmp	 6.941304e+00	 12	 999000	 120	 999000	 999	 7.959043e+00	 0.00	 0.00	 10.00	 53	 5.85	 
cat_between_MRI_998	 2	 3	 Halva2.bmp	 1.294821e+01	 11	 999000	 1	 1.696076e+00	 999	 1.396586e+01	 0.00	 0.00	 16.00	 17	 5.58	 
cat_between_MRI_998	 2	 3	 ClickBalls5.bmp	 1.695253e+01	 22	 999000	 2	 1.685874e+00	 999	 1.797034e+01	 0.00	 0.00	 46.00	 36	 4.91	 
cat_between_MRI_998	 2	 3	 BambaNugat.bmp	 2.094034e+01	 24	 999000	 240	 999000	 999	 2.195817e+01	 0.00	 0.00	 47.00	 27	 4.85	 
cat_between_MRI_998	 2	 3	 DoritosNatural.bmp	 2.394374e+01	 24	 999000	 240	 999000	 999	 2.496147e+01	 0.00	 0.00	 52.00	 3	 4.79	 
cat_between_MRI_998	 2	 3	 Snickers.bmp	 2.694721e+01	 12	 999000	 120	 999000	 999	 2.796491e+01	 0.00	 0.00	 22.00	 7	 5.49	 
cat_between_MRI_998	 2	 3	 Cheetos.bmp	 2.894932e+01	 24	 999000	 240	 999000	 999	 2.996709e+01	 0.00	 0.00	 42.00	 9	 5.04	 
cat_between_MRI_998	 2	 3	 BagaleShtuhim.bmp	 3.095157e+01	 12	 999000	 120	 999000	 999	 3.196948e+01	 0.00	 0.00	 13.00	 57	 5.77	 
cat_between_MRI_998	 2	 3	 KashitSour.bmp	 3.295382e+01	 22	 999000	 2	 1.133687e+00	 999	 3.397168e+01	 0.00	 0.00	 51.00	 31	 4.81	 
cat_between_MRI_998	 2	 3	 Mekupelet.bmp	 3.493943e+01	 24	 999000	 240	 999000	 999	 3.595720e+01	 0.00	 0.00	 39.00	 22	 5.06	 
cat_between_MRI_998	 2	 3	 BisliOnion.bmp	 3.994506e+01	 12	 999000	 120	 999000	 999	 4.096276e+01	 0.00	 0.00	 5.00	 13	 6.16	 
cat_between_MRI_998	 2	 3	 ChocolateParaSucariotKoftzot2.bmp	 4.695289e+01	 24	 999000	 240	 999000	 999	 4.797070e+01	 0.00	 0.00	 40.00	 20	 5.06	 
cat_between_MRI_998	 2	 3	 ChocolateParaMilk3.bmp	 4.893813e+01	 11	 999000	 1	 1.151302e+00	 999	 4.995629e+01	 0.00	 0.00	 14.00	 21	 5.67	 
cat_between_MRI_998	 2	 3	 Twix.bmp	 5.394410e+01	 12	 999000	 120	 999000	 999	 5.496182e+01	 0.00	 0.00	 7.00	 44	 6.13	 
cat_between_MRI_998	 2	 3	 Tictac.bmp	 5.594635e+01	 11	 999000	 1	 1.128755e+00	 999	 5.696407e+01	 0.00	 0.00	 17.00	 49	 5.57	 
cat_between_MRI_998	 2	 3	 Apropo.bmp	 5.794854e+01	 11	 999000	 1	 1.073878e+00	 999	 5.896633e+01	 0.00	 0.00	 9.00	 11	 6.04	 
